customer,customer_no,region,country,campaign_2026,spend_krw_2025,spend_usd_2025,activities,campaigns_2025_source
UNIVERSAL DE REPUESTOS,200443,LATAM,Colombia,CTR MarketFit Campaign,21317460,15560,1,Co-funded Marketing (LATAM)
Diamond Auto Spare Parts,202000,MENA,Oman,Portfolio Expansion Program,10318700,7532,1,SteerStar
GP Mobility Public Company Limited,288352,ASIA,Thailand,SELL-OUT Promotion,10292800,7513,1,SteerStar
CLUTCHES DE GUATEMALA,200403,LATAM,Guatemala,CTR MarketFit Campaign,10224200,7463,1,SteerStar
AUTOTRADE KZ,287553,CIS,Kazakhstan,Asian vehicle,10037300,7326,1,SteerStar
MAST MOTORING AUTOPARTS SOLUTIONS AND,200371,ASIA,Vietnam,SELL-OUT Promotion,9932912,7250,2,SteerStar
RP INTERNATIONAL GROUP INC,200358,LATAM,Panama,CTR MarketFit Campaign,7733195,5645,1,Co-funded Marketing (LATAM)
Lordco Auto Parts,289029,NA,Canada,Strategic Partner Program,3868275,2824,5,Lordco Trade Show
CHUAN LAM AUTO SUPPLY,200241,ASIA,Philippines,SELL-OUT Promotion,500892,366,2,Free Replacement Event
